task_id,package,function_name,level,contract_status,status_reasons,current_status,current_tier,simple_status,simple_tier,expected_artifacts_task_json,artifacts_written_by_solution,artifacts_compared_by_current_eval,artifacts_compared_by_simple_eval,input_files_declared,input_files_read_by_solution,input_files_previewed_current,functions_called_by_solution,functions_requested_by_task_prompt,uses_internal_helper,uses_hidden_in_script_data,result_assignment_count,overwrites_result,fixture_semantic_flags,task_dir
pharmaverse/aNCA/PKNCA_impute_method_start_c1,aNCA,PKNCA_impute_method_start_c1,L2,D_QUARANTINE_CONTRACT,clinical_placeholders; result_overwrite_or_echo_suspected,NO_OUTPUT,exec_fail,NO_OUTPUT,exec_fail,outputs/result.csv; outputs/summary.csv,outputs/result.csv; outputs/result.rds; outputs/summary.csv,,,inputs/conc.tsv; inputs/end.tsv; inputs/options.tsv; inputs/start.tsv; inputs/time.tsv,inputs/conc.tsv; inputs/end.tsv; inputs/options.tsv; inputs/start.tsv; inputs/time.tsv,inputs/conc.tsv; inputs/end.tsv; inputs/options.tsv; inputs/start.tsv; inputs/time.tsv,,aNCA::PKNCA_impute_method_start_c1,False,False,2,True,clinical_placeholders,/mnt/workspace-storage/lab_workspace/projects/RBioBench/tasks/releases/rbiobench_stable_v1/tracks/clinical_pilot/tasks/aNCA/PKNCA_impute_method_start_c1
pharmaverse/aNCA/PKNCA_impute_method_start_logslope,aNCA,PKNCA_impute_method_start_logslope,L2,D_QUARANTINE_CONTRACT,clinical_placeholders; result_overwrite_or_echo_suspected,TIMEOUT,exec_fail,NO_OUTPUT,exec_fail,outputs/result.csv; outputs/summary.csv,outputs/result.csv; outputs/result.rds; outputs/summary.csv,,,inputs/conc.tsv; inputs/end.tsv; inputs/options.tsv; inputs/start.tsv; inputs/time.tsv,inputs/conc.tsv; inputs/end.tsv; inputs/options.tsv; inputs/start.tsv; inputs/time.tsv,inputs/conc.tsv; inputs/end.tsv; inputs/options.tsv; inputs/start.tsv; inputs/time.tsv,PKNCA::pk.calc.c0,aNCA::PKNCA_impute_method_start_logslope,False,False,2,True,clinical_placeholders,/mnt/workspace-storage/lab_workspace/projects/RBioBench/tasks/releases/rbiobench_stable_v1/tracks/clinical_pilot/tasks/aNCA/PKNCA_impute_method_start_logslope
pharmaverse/aNCA/add_exclusion_reasons,aNCA,add_exclusion_reasons,L1,D_QUARANTINE_CONTRACT,clinical_placeholders; evaluator_compares_artifact_not_in_task_json; result_overwrite_or_echo_suspected; task_json_expected_artifact_not_compared_in_results; unit_mismatch_placeholders,FAIL,output_bad,TIMEOUT,exec_fail,outputs/result.csv; outputs/result.rds,outputs/result.csv; outputs/result.rds; outputs/summary.csv,outputs/result.csv; outputs/summary.csv,,inputs/exclusion_list.tsv; inputs/pknca_data.tsv,inputs/exclusion_list.tsv; inputs/pknca_data.tsv,inputs/exclusion_list.tsv; inputs/pknca_data.tsv,,aNCA::add_exclusion_reasons,False,False,5,True,clinical_placeholders; unit_mismatch_placeholders,/mnt/workspace-storage/lab_workspace/projects/RBioBench/tasks/releases/rbiobench_stable_v1/tracks/clinical_pilot/tasks/aNCA/add_exclusion_reasons
pharmaverse/aNCA/add_f_to_pknca_results,aNCA,add_f_to_pknca_results,L1,D_QUARANTINE_CONTRACT,clinical_placeholders; result_overwrite_or_echo_suspected; scalarish_input_has_complex_placeholder:format.tsv; scalarish_input_has_complex_placeholder:library.tsv; task_json_expected_artifact_not_compared_in_results,NO_OUTPUT,exec_fail,FAIL,output_bad,outputs/result.csv; outputs/result.rds; outputs/summary.csv,outputs/result.csv; outputs/result.rds; outputs/summary.csv,,outputs/result.csv; outputs/summary.csv,inputs/f_aucs.tsv; inputs/res_nca.tsv,inputs/f_aucs.tsv; inputs/res_nca.tsv,inputs/f_aucs.tsv; inputs/format.tsv; inputs/library.tsv; inputs/res_nca.tsv,,aNCA::add_f_to_pknca_results; dplyr::bind_rows,False,False,2,True,clinical_placeholders; scalarish_input_has_complex_placeholder:format.tsv; scalarish_input_has_complex_placeholder:library.tsv,/mnt/workspace-storage/lab_workspace/projects/RBioBench/tasks/releases/rbiobench_stable_v1/tracks/clinical_pilot/tasks/aNCA/add_f_to_pknca_results
pharmaverse/aNCA/add_impute_method,aNCA,add_impute_method,L2,D_QUARANTINE_CONTRACT,clinical_placeholders; evaluator_compares_artifact_not_in_task_json; result_overwrite_or_echo_suspected; scalarish_input_has_complex_placeholder:impute_vals.tsv,FAIL,output_bad,TIMEOUT,exec_fail,outputs/result.csv,outputs/result.csv; outputs/result.rds; outputs/summary.csv,outputs/result.csv; outputs/summary.csv,,inputs/after.tsv; inputs/impute_vals.tsv; inputs/target_impute.tsv,inputs/after.tsv; inputs/impute_vals.tsv; inputs/target_impute.tsv,inputs/after.tsv; inputs/impute_vals.tsv; inputs/target_impute.tsv,,aNCA::add_impute_method,False,False,3,True,clinical_placeholders; scalarish_input_has_complex_placeholder:impute_vals.tsv,/mnt/workspace-storage/lab_workspace/projects/RBioBench/tasks/releases/rbiobench_stable_v1/tracks/clinical_pilot/tasks/aNCA/add_impute_method
pharmaverse/aNCA/add_label_attribute,aNCA,add_label_attribute,L1,D_QUARANTINE_CONTRACT,clinical_placeholders; derivation_placeholders; evaluator_compares_artifact_not_in_task_json; result_overwrite_or_echo_suspected; rlang_expr_placeholders,TIMEOUT,exec_fail,FAIL,output_bad,outputs/result.csv,outputs/result.csv; outputs/result.rds; outputs/summary.csv,,outputs/result.csv; outputs/summary.csv,inputs/df.tsv; inputs/myres.tsv,inputs/df.tsv; inputs/myres.tsv,inputs/df.tsv; inputs/myres.tsv,,aNCA::add_label_attribute,False,False,2,True,clinical_placeholders; derivation_placeholders; rlang_expr_placeholders,/mnt/workspace-storage/lab_workspace/projects/RBioBench/tasks/releases/rbiobench_stable_v1/tracks/clinical_pilot/tasks/aNCA/add_label_attribute
pharmaverse/aNCA/add_pptx_sl_title,aNCA,add_pptx_sl_title,L1,D_QUARANTINE_CONTRACT,clinical_placeholders; evaluator_compares_artifact_not_in_task_json; helper_assertion_doc_or_internal_only_candidate; task_json_expected_artifact_not_compared_in_results; unit_mismatch_placeholders; uses_internal_helper_or_namespace_access,FAIL,output_bad,TIMEOUT,exec_fail,outputs/result.csv; outputs/result.rds,outputs/result.csv; outputs/result.rds; outputs/summary.csv,outputs/result.csv; outputs/summary.csv,,inputs/pptx.tsv; inputs/title.tsv,inputs/pptx.tsv; inputs/title.tsv,inputs/pptx.tsv; inputs/title.tsv,,aNCA::add_pptx_sl_title,True,False,2,False,clinical_placeholders; unit_mismatch_placeholders,/mnt/workspace-storage/lab_workspace/projects/RBioBench/tasks/releases/rbiobench_stable_v1/tracks/clinical_pilot/tasks/aNCA/add_pptx_sl_title
pharmaverse/aNCA/add_qmd_plot,aNCA,add_qmd_plot,L1,D_QUARANTINE_CONTRACT,clinical_placeholders; evaluator_compares_artifact_not_in_task_json; helper_assertion_doc_or_internal_only_candidate; unit_mismatch_placeholders; uses_internal_helper_or_namespace_access,NO_OUTPUT,exec_fail,FAIL,output_bad,outputs/result.csv,outputs/result.csv; outputs/result.rds; outputs/summary.csv,,outputs/result.csv; outputs/summary.csv,inputs/plot_expr.tsv; inputs/use_plotly.tsv,inputs/plot_expr.tsv; inputs/use_plotly.tsv,inputs/plot_expr.tsv; inputs/use_plotly.tsv,,aNCA::add_qmd_plot,True,False,4,False,clinical_placeholders; unit_mismatch_placeholders,/mnt/workspace-storage/lab_workspace/projects/RBioBench/tasks/releases/rbiobench_stable_v1/tracks/clinical_pilot/tasks/aNCA/add_qmd_plot
pharmaverse/aNCA/add_qmd_sl_plot,aNCA,add_qmd_sl_plot,L2,D_QUARANTINE_CONTRACT,clinical_placeholders; evaluator_compares_artifact_not_in_task_json; helper_assertion_doc_or_internal_only_candidate; uses_internal_helper_or_namespace_access,TIMEOUT,exec_fail,FAIL,output_bad,outputs/result.csv,outputs/result.csv; outputs/result.rds; outputs/summary.csv,,outputs/result.csv; outputs/summary.csv,inputs/plot.tsv; inputs/quarto_path.tsv; inputs/use_plotly.tsv,inputs/plot.tsv; inputs/quarto_path.tsv; inputs/use_plotly.tsv,inputs/plot.tsv; inputs/quarto_path.tsv; inputs/use_plotly.tsv,,aNCA::add_qmd_sl_plot,True,False,3,False,clinical_placeholders,/mnt/workspace-storage/lab_workspace/projects/RBioBench/tasks/releases/rbiobench_stable_v1/tracks/clinical_pilot/tasks/aNCA/add_qmd_sl_plot
pharmaverse/aNCA/add_qmd_sl_plottabletable,aNCA,add_qmd_sl_plottabletable,L2,C_REPAIR_FIXTURE,clinical_placeholders; helper_assertion_doc_or_internal_only_candidate; uses_internal_helper_or_namespace_access,NO_OUTPUT,exec_fail,TIMEOUT,exec_fail,outputs/result.csv,outputs/result.csv; outputs/result.rds; outputs/summary.csv,,,inputs/df1.tsv; inputs/df2.tsv; inputs/plot.tsv; inputs/quarto_path.tsv; inputs/use_plotly.tsv,inputs/df1.tsv; inputs/df2.tsv; inputs/plot.tsv; inputs/quarto_path.tsv; inputs/use_plotly.tsv,inputs/df1.tsv; inputs/df2.tsv; inputs/plot.tsv; inputs/quarto_path.tsv; inputs/use_plotly.tsv,,aNCA::add_qmd_sl_plottabletable,True,False,3,False,clinical_placeholders,/mnt/workspace-storage/lab_workspace/projects/RBioBench/tasks/releases/rbiobench_stable_v1/tracks/clinical_pilot/tasks/aNCA/add_qmd_sl_plottabletable
