idx,task_id,task_dir,package,function_name,expected_artifacts,current_status,current_tier,current_message,current_comparison,simple_status,simple_tier,simple_message,simple_comparison
1,pharmaverse/aNCA/get_conversion_factor,tasks/releases/rbiobench_stable_v1/tracks/clinical_pilot/tasks/aNCA/get_conversion_factor,aNCA,get_conversion_factor,"outputs/result.csv, outputs/summary.csv",FAIL,output_bad,,"result.csv: match=False reason=Shape mismatch: ref=(5, 3) vs llm=(0, 1) | summary.csv: match=False reason=File not generated",FAIL,output_bad,,"result.csv: match=False reason=Shape mismatch: ref=(5, 3) vs llm=(1, 1) | summary.csv: match=False reason=File not generated"
2,pharmaverse/aNCA/g_pkcg03_log,tasks/releases/rbiobench_stable_v1/tracks/clinical_pilot/tasks/aNCA/g_pkcg03_log,aNCA,g_pkcg03_log,"outputs/result.csv, outputs/result.rds",FAIL,output_bad,,"result.csv: match=False reason=Shape mismatch: ref=(1, 2) vs llm=(54, 13) | summary.csv: match=False reason=File not generated | result.rds: match=False reason=Unexpected: ",FAIL,output_bad,,"result.csv: match=False reason=Shape mismatch: ref=(1, 2) vs llm=(18, 21) | summary.csv: match=False reason=File not generated | result.rds: match=False reason=Unexpected: "
3,pharmaverse/admiral/convert_special_cases,tasks/releases/rbiobench_stable_v1/tracks/clinical_pilot/tasks/admiral/convert_special_cases,admiral,convert_special_cases,outputs/result.csv,TIMEOUT,exec_fail,Timeout after 120s,,TIMEOUT,exec_fail,Timeout after 120s,
4,pharmaverse/tidytlg/check_file,tasks/releases/rbiobench_stable_v1/tracks/clinical_pilot/tasks/tidytlg/check_file,tidytlg,check_file,outputs/result.csv,NO_OUTPUT,exec_fail,No output files created,,NO_OUTPUT,exec_fail,No output files created,
5,pharmaverse/tidytlg/check_req_arg,tasks/releases/rbiobench_stable_v1/tracks/clinical_pilot/tasks/tidytlg/check_req_arg,tidytlg,check_req_arg,outputs/result.csv,NO_OUTPUT,exec_fail,No output files created,,NO_OUTPUT,exec_fail,No output files created,
6,pharmaverse/admiral/count_vals,tasks/releases/rbiobench_stable_v1/tracks/clinical_pilot/tasks/admiral/count_vals,admiral,count_vals,outputs/result.csv,TIMEOUT,exec_fail,Timeout after 120s,,TIMEOUT,exec_fail,Timeout after 120s,
7,pharmaverse/admiral/compute_age_years,tasks/releases/rbiobench_stable_v1/tracks/clinical_pilot/tasks/admiral/compute_age_years,admiral,compute_age_years,outputs/result.csv,TIMEOUT,exec_fail,Timeout after 120s,,TIMEOUT,exec_fail,Timeout after 120s,
8,pharmaverse/admiral/derive_vars_joined,tasks/releases/rbiobench_stable_v1/tracks/clinical_pilot/tasks/admiral/derive_vars_joined,admiral,derive_vars_joined,outputs/result.csv,TIMEOUT,exec_fail,Timeout after 120s,,TIMEOUT,exec_fail,Timeout after 120s,
9,pharmaverse/metatools/dash_to_eq,tasks/releases/rbiobench_stable_v1/tracks/clinical_pilot/tasks/metatools/dash_to_eq,metatools,dash_to_eq,outputs/result.csv,NO_OUTPUT,exec_fail,No output files created,,NO_OUTPUT,exec_fail,No output files created,
10,pharmaverse/aNCA/add_exclusion_reasons,tasks/releases/rbiobench_stable_v1/tracks/clinical_pilot/tasks/aNCA/add_exclusion_reasons,aNCA,add_exclusion_reasons,"outputs/result.csv, outputs/result.rds",FAIL,output_bad,,"result.csv: match=False reason=Shape mismatch: ref=(5, 4) vs llm=(0, 13) | summary.csv: match=False reason=File not generated",TIMEOUT,exec_fail,Timeout after 120s,
11,pharmaverse/aNCA/check_valid_pknca_data,tasks/releases/rbiobench_stable_v1/tracks/clinical_pilot/tasks/aNCA/check_valid_pknca_data,aNCA,check_valid_pknca_data,"outputs/result.csv, outputs/result.rds",FAIL,output_bad,,"result.csv: match=False reason=Shape mismatch: ref=(1, 3) vs llm=(5, 3) | summary.csv: match=False reason=File not generated",NO_OUTPUT,exec_fail,No output files created,
12,pharmaverse/admiral/call_derivation,tasks/releases/rbiobench_stable_v1/tracks/clinical_pilot/tasks/admiral/call_derivation,admiral,call_derivation,outputs/result.csv,NO_OUTPUT,exec_fail,No output files created,,TIMEOUT,exec_fail,Timeout after 120s,
13,pharmaverse/aNCA/add_qmd_plot,tasks/releases/rbiobench_stable_v1/tracks/clinical_pilot/tasks/aNCA/add_qmd_plot,aNCA,add_qmd_plot,outputs/result.csv,NO_OUTPUT,exec_fail,No output files created,,FAIL,output_bad,,"result.csv: match=False reason=Shape mismatch: ref=(1, 2) vs llm=(15, 1) | summary.csv: match=False reason=File not generated"
14,pharmaverse/admiral/print_named_list,tasks/releases/rbiobench_stable_v1/tracks/clinical_pilot/tasks/admiral/print_named_list,admiral,print_named_list,outputs/result.csv,TIMEOUT,exec_fail,Timeout after 120s,,FAIL,output_bad,,"result.csv: match=False reason=Shape mismatch: ref=(1, 1) vs llm=(3, 2) | summary.csv: match=False reason=File not generated"
15,pharmaverse/aNCA/dose_profile_duplicates,tasks/releases/rbiobench_stable_v1/tracks/clinical_pilot/tasks/aNCA/dose_profile_duplicates,aNCA,dose_profile_duplicates,"outputs/result.csv, outputs/summary.csv",FAIL,output_bad,,"result.csv: match=False reason=Shape mismatch: ref=(0, 1) vs llm=(1, 3) | summary.csv: match=False reason=File not generated",FAIL,output_bad,,"result.csv: match=False reason=Shape mismatch: ref=(0, 1) vs llm=(18, 6) | summary.csv: match=False reason=File not generated"
16,pharmaverse/tidytlg/replace_na_with_blank,tasks/releases/rbiobench_stable_v1/tracks/clinical_pilot/tasks/tidytlg/replace_na_with_blank,tidytlg,replace_na_with_blank,"outputs/result.csv, outputs/summary.csv",FAIL,output_bad,,result.csv: match=False reason=File not generated | summary.csv: match=False reason=File not generated,NO_OUTPUT,exec_fail,No output files created,
17,pharmaverse/aNCA/error_plot,tasks/releases/rbiobench_stable_v1/tracks/clinical_pilot/tasks/aNCA/error_plot,aNCA,error_plot,"outputs/result.csv, outputs/result.rds",FAIL,output_bad,,"result.csv: match=False reason=Shape mismatch: ref=(1, 3) vs llm=(9, 4) | summary.csv: match=False reason=File not generated",FAIL,output_bad,,"result.csv: match=False reason=Shape mismatch: ref=(1, 3) vs llm=(4, 7) | summary.csv: match=False reason=File not generated"
18,pharmaverse/sdtm.oak/str_to_anycase,tasks/releases/rbiobench_stable_v1/tracks/clinical_pilot/tasks/sdtm.oak/str_to_anycase,sdtm.oak,str_to_anycase,outputs/result.csv,NO_OUTPUT,exec_fail,No output files created,,FAIL,output_bad,,result.csv: match=False reason=Value mismatch in column: result | summary.csv: match=False reason=File not generated
19,pharmaverse/aNCA/add_qmd_sl_plottabletable,tasks/releases/rbiobench_stable_v1/tracks/clinical_pilot/tasks/aNCA/add_qmd_sl_plottabletable,aNCA,add_qmd_sl_plottabletable,outputs/result.csv,NO_OUTPUT,exec_fail,No output files created,,TIMEOUT,exec_fail,Timeout after 120s,
20,pharmaverse/aNCA/create_html_dose_slides,tasks/releases/rbiobench_stable_v1/tracks/clinical_pilot/tasks/aNCA/create_html_dose_slides,aNCA,create_html_dose_slides,outputs/result.csv,FAIL,output_bad,,"result.csv: match=False reason=Shape mismatch: ref=(1, 2) vs llm=(3, 3) | summary.csv: match=False reason=File not generated",FAIL,output_bad,,"result.csv: match=False reason=Shape mismatch: ref=(1, 2) vs llm=(27, 3) | summary.csv: match=False reason=File not generated"
21,pharmaverse/admiral/extract_unit,tasks/releases/rbiobench_stable_v1/tracks/clinical_pilot/tasks/admiral/extract_unit,admiral,extract_unit,outputs/result.csv,TIMEOUT,exec_fail,Timeout after 120s,,FAIL,output_bad,,"result.csv: match=False reason=Shape mismatch: ref=(1, 2) vs llm=(5, 2)"
